date_format,MT10-02,MT10-04,MT10-01,MT10-03,MT10-05,MT10-06,MT10-07,MT10-08,MT10-09,MT10-10
2022-01-08 18:00:00,18.88888931274414,20.61111068725586,20.66666603088379,20.61111068725586,20.27777862548828,20.61111068725586,21.0,20.05555534362793,21.27777862548828,19.94444465637207
2022-01-08 19:00:00,18.83333396911621,20.55555534362793,20.61111068725586,20.55555534362793,20.22222137451172,20.55555534362793,20.94444465637207,20.0,21.22222137451172,19.88888931274414
2022-01-08 20:00:00,18.72222137451172,20.38888931274414,20.55555534362793,20.38888931274414,20.0,20.38888931274414,20.88888931274414,19.94444465637207,21.05555534362793,19.77777862548828
2022-01-08 21:00:00,18.66666603088379,20.27777862548828,20.38888931274414,20.33333396911621,19.77777862548828,20.27777862548828,20.83333396911621,19.77777862548828,21.0,19.72222137451172
2022-01-08 22:00:00,18.5,20.16666603088379,20.27777862548828,20.22222137451172,19.61111068725586,20.16666603088379,20.72222137451172,19.72222137451172,20.88888931274414,19.61111068725586
2022-01-08 23:00:00,18.44444465637207,20.11111068725586,20.22222137451172,20.16666603088379,19.61111068725586,20.11111068725586,20.72222137451172,19.66666603088379,20.83333396911621,19.55555534362793
2022-01-09 00:00:00,18.38888931274414,20.05555534362793,20.22222137451172,20.11111068725586,19.55555534362793,20.05555534362793,20.66666603088379,19.66666603088379,20.83333396911621,19.55555534362793
2022-01-09 01:00:00,18.38888931274414,20.05555534362793,20.16666603088379,20.11111068725586,19.55555534362793,20.0,20.66666603088379,19.61111068725586,20.77777862548828,19.5
2022-01-09 02:00:00,18.38888931274414,20.0,20.16666603088379,20.05555534362793,19.66666603088379,20.0,20.66666603088379,19.61111068725586,20.77777862548828,19.5
2022-01-09 03:00:00,18.44444465637207,20.05555534362793,20.11111068725586,20.05555534362793,19.88888931274414,20.05555534362793,20.61111068725586,19.61111068725586,20.77777862548828,19.5
2022-01-09 04:00:00,18.5,20.05555534362793,20.16666603088379,20.05555534362793,20.11111068725586,20.05555534362793,20.66666603088379,19.61111068725586,20.77777862548828,19.5
2022-01-09 05:00:00,18.5,20.11111068725586,20.16666603088379,20.05555534362793,20.22222137451172,20.11111068725586,20.66666603088379,19.66666603088379,20.83333396911621,19.55555534362793
2022-01-09 06:00:00,18.61111068725586,20.16666603088379,20.22222137451172,20.11111068725586,20.55555534362793,20.16666603088379,20.61111068725586,19.66666603088379,20.83333396911621,19.55555534362793
2022-01-09 07:00:00,18.66666603088379,20.22222137451172,20.22222137451172,20.11111068725586,20.55555534362793,20.16666603088379,20.61111068725586,19.72222137451172,20.83333396911621,19.55555534362793
2022-01-09 08:00:00,18.72222137451172,20.33333396911621,20.27777862548828,20.16666603088379,20.38888931274414,20.27777862548828,20.61111068725586,19.72222137451172,20.88888931274414,19.61111068725586
2022-01-09 09:00:00,18.83333396911621,20.55555534362793,20.38888931274414,20.22222137451172,20.55555534362793,20.33333396911621,20.66666603088379,19.88888931274414,21.33333396911621,19.72222137451172
2022-01-09 10:00:00,18.88888931274414,20.66666603088379,20.55555534362793,20.27777862548828,20.55555534362793,20.38888931274414,20.66666603088379,20.0,21.05555534362793,19.77777862548828
2022-01-09 11:00:00,19.55555534362793,22.83333396911621,21.05555534362793,20.88888931274414,20.77777862548828,21.05555534362793,20.77777862548828,23.33333396911621,21.38888931274414,22.5
2022-01-09 12:00:00,20.0,22.77777862548828,21.61111068725586,21.55555534362793,21.44444465637207,21.72222137451172,20.94444465637207,24.61111068725586,22.0,24.0
2022-01-09 13:00:00,20.61111068725586,23.0,22.22222137451172,22.22222137451172,21.94444465637207,24.77777862548828,21.22222137451172,21.72222137451172,22.66666603088379,21.88888931274414
2022-01-09 14:00:00,20.61111068725586,23.0,22.22222137451172,22.0,22.16666603088379,23.55555534362793,21.22222137451172,21.55555534362793,22.66666603088379,21.55555534362793
2022-01-09 15:00:00,20.27777862548828,22.22222137451172,21.83333396911621,21.5,21.83333396911621,21.94444465637207,20.94444465637207,21.0,22.22222137451172,20.94444465637207
2022-01-09 16:00:00,20.16666603088379,21.66666603088379,21.44444465637207,21.27777862548828,21.72222137451172,21.5,20.88888931274414,20.77777862548828,21.88888931274414,20.66666603088379
2022-01-09 17:00:00,20.11111068725586,21.44444465637207,21.27777862548828,21.0,21.72222137451172,21.33333396911621,20.83333396911621,20.66666603088379,21.61111068725586,20.55555534362793
2022-01-09 18:00:00,20.05555534362793,21.27777862548828,21.05555534362793,20.94444465637207,21.61111068725586,21.27777862548828,20.83333396911621,20.55555534362793,21.55555534362793,20.33333396911621
2022-01-09 19:00:00,20.0,21.05555534362793,20.94444465637207,20.88888931274414,21.55555534362793,21.22222137451172,20.77777862548828,20.38888931274414,21.5,20.27777862548828
2022-01-09 20:00:00,19.94444465637207,21.0,20.88888931274414,20.83333396911621,21.44444465637207,21.0,20.77777862548828,20.38888931274414,21.44444465637207,20.22222137451172
2022-01-09 21:00:00,19.77777862548828,20.94444465637207,20.88888931274414,20.77777862548828,21.38888931274414,21.0,20.77777862548828,20.33333396911621,21.38888931274414,20.22222137451172
2022-01-09 22:00:00,19.72222137451172,20.94444465637207,20.83333396911621,20.77777862548828,21.38888931274414,20.94444465637207,20.77777862548828,20.27777862548828,21.38888931274414,20.16666603088379
2022-01-09 23:00:00,19.66666603088379,20.88888931274414,20.83333396911621,20.72222137451172,21.33333396911621,20.88888931274414,20.77777862548828,20.27777862548828,21.38888931274414,20.16666603088379
