Points_MT10-01_field_temperature,Points_MT10-02_field_temperature,Points_MT10-03_field_temperature,Points_MT10-04_field_temperature,Points_MT10-05_field_temperature,Points_MT10-06_field_temperature,Points_MT10-07_field_temperature,Points_MT10-08_field_temperature,Points_MT10-09_field_temperature,Points_MT10-10_field_temperature,time
2.9228186101297183e+02,2.9327949016638314e+02,2.9202637217838958e+02,2.9128572402122956e+02,2.9325203830246210e+02,2.9235089446352845e+02,2.9201959647730382e+02,2.9200641595277631e+02,2.9226278624530687e+02,2.9201011702826383e+02,1.5000000000000000e+04
2.9228186101258132e+02,2.9327949016627144e+02,2.9202637217826339e+02,2.9128572402109353e+02,2.9325203830235694e+02,2.9235089446336383e+02,2.9201959647720997e+02,2.9200641595272475e+02,2.9226278624518449e+02,2.9201011702818226e+02,1.5600000000000000e+04
2.9228186101217085e+02,2.9327949016616708e+02,2.9202637217810798e+02,2.9128572402096626e+02,2.9325203830225809e+02,2.9235089446320262e+02,2.9201959647709441e+02,2.9200641595265512e+02,2.9226278624506449e+02,2.9201011702807205e+02,1.6200000000000000e+04
2.9228186101192892e+02,2.9327949016610785e+02,2.9202637217801168e+02,2.9128572402089452e+02,2.9325203830220255e+02,2.9235089446310974e+02,2.9201959647702262e+02,2.9200641595261078e+02,2.9226278624499554e+02,2.9201011702800190e+02,1.6800000000000000e+04
2.9228186101182087e+02,2.9327949016608250e+02,2.9202637217796695e+02,2.9128572402086348e+02,2.9325203830217856e+02,2.9235089446306927e+02,2.9201959647698953e+02,2.9200641595258998e+02,2.9226278624496530e+02,2.9201011702796893e+02,1.7400000000000000e+04
2.9228186101178392e+02,2.9327949016607403e+02,2.9202637217795120e+02,2.9128572402085308e+02,2.9325203830217049e+02,2.9235089446305551e+02,2.9201959647697782e+02,2.9200641595258242e+02,2.9226278624495529e+02,2.9201011702795705e+02,1.8000000000000000e+04
2.9228186101177641e+02,2.9327949016607249e+02,2.9202637217794779e+02,2.9128572402085126e+02,2.9325203830216896e+02,2.9235089446305290e+02,2.9201959647697521e+02,2.9200641595258065e+02,2.9226278624495325e+02,2.9201011702795455e+02,1.8600000000000000e+04
2.9228186101177761e+02,2.9327949016607283e+02,2.9202637217794819e+02,2.9128572402085166e+02,2.9325203830216947e+02,2.9235089446305335e+02,2.9201959647697532e+02,2.9200641595258094e+02,2.9226278624495365e+02,2.9201011702795478e+02,1.9200000000000000e+04
2.9228186101177988e+02,2.9327949016607329e+02,2.9202637217794904e+02,2.9128572402085229e+02,2.9325203830216981e+02,2.9235089446305432e+02,2.9201959647697595e+02,2.9200641595258139e+02,2.9226278624495427e+02,2.9201011702795546e+02,1.9800000000000000e+04
2.9228186101178159e+02,2.9327949016607386e+02,2.9202637217794984e+02,2.9128572402085297e+02,2.9325203830217004e+02,2.9235089446305489e+02,2.9201959647697652e+02,2.9200641595258173e+02,2.9226278624495473e+02,2.9201011702795591e+02,2.0400000000000000e+04
2.9228186101178233e+02,2.9327949016607391e+02,2.9202637217795024e+02,2.9128572402085302e+02,2.9325203830217038e+02,2.9235089446305528e+02,2.9201959647697686e+02,2.9200641595258185e+02,2.9226278624495507e+02,2.9201011702795614e+02,2.1000000000000000e+04
2.9228186101178261e+02,2.9327949016607397e+02,2.9202637217795024e+02,2.9128572402085297e+02,2.9325203830217043e+02,2.9235089446305528e+02,2.9201959647697697e+02,2.9200641595258196e+02,2.9226278624495507e+02,2.9201011702795626e+02,2.1600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.2200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.2800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.3400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.4000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.4600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.5200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.5800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.6400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.7000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.7600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.8200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.8800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,2.9400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.0000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.0600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.1200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.1800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.2400000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.3000000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.3600000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.4200000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.4800000000000000e+04
2.9228186101178255e+02,2.9327949016607380e+02,2.9202637217795018e+02,2.9128572402085291e+02,2.9325203830217043e+02,2.9235089446305517e+02,2.9201959647697680e+02,2.9200641595258190e+02,2.9226278624495501e+02,2.9201011702795626e+02,3.5400000000000000e+04
