,t,k=0,k=1,k=2
152,1.52,-8.859814438092718,-8.859814438092718,-8.859814438092718
153,1.53,-8.218710880007448,-8.218710880007448,-8.218710880007448
154,1.54,-7.595459905660548,-7.595459905660548,-7.595459905660548
155,1.55,-7.001019440815514,-7.001019440815514,-7.001019440815514
156,1.56,-6.444386345507835,-6.444386345507835,-6.444386345507835
157,1.57,-5.932446774639513,-5.932446774639513,-5.932446774639513
158,1.58,-5.469979691053709,-5.469979691053709,-5.469979691053709
159,1.59,-5.0597869865103835,-5.0597869865103835,-5.0597869865103835
160,1.6,-4.702916337078624,-4.702916337078624,-4.702916337078624
161,1.61,-4.398941342778871,-4.398941342778871,-4.398941342778871
162,1.62,-4.146266440343409,-4.146266440343409,-4.146266440343409
163,1.6300000000000001,-3.9424298924478958,-3.9424298924478958,-3.9424298924478958
164,1.6400000000000001,-3.7843852393690245,-3.7843852393690245,-3.7843852393690245
165,1.6500000000000001,-3.6687486586370435,-3.6687486586370435,-3.6687486586370435
166,1.6600000000000001,-3.5920058577831155,-3.5920058577831155,-3.5920058577831155
167,1.67,-3.5506769898286787,-3.5506769898286787,-3.5506769898286787
168,1.68,-3.5414415305535627,-3.5414415305535627,-3.5414415305535627
169,1.69,-3.561227211794901,-3.561227211794901,-3.561227211794901
170,1.7,-3.607268202595874,-3.607268202595874,-3.607268202595874
171,1.71,-3.6771380414296435,-3.6771380414296435,-3.6771380414296435
172,1.72,-3.768762602790946,-3.768762602790946,-3.768762602790946
173,1.73,-3.8804178418105737,-3.8804178418105737,-3.8804178418105737
174,1.74,-4.010716361273187,-4.010716361273187,-4.010716361273187
175,1.75,-4.158586097712795,-4.158586097712795,-4.158586097712795
176,1.76,-4.3232436976272295,-4.3232436976272295,-4.3232436976272295
177,1.77,-4.50416449088798,-4.50416449088798,-4.50416449088798
178,1.78,-4.701050384038838,-4.701050384038838,-4.701050384038838
179,1.79,-4.913796495273008,-4.913796495273008,-4.913796495273008
180,1.8,-5.1424569311922275,-5.1424569311922275,-5.1424569311922275
181,1.81,-5.387209754783162,-5.387209754783162,-5.387209754783162
182,1.82,-5.648320905182947,-5.648320905182947,-5.648320905182947
183,1.83,-5.926106594522614,-5.926106594522614,-5.926106594522614
184,1.84,-6.220893519612042,-6.220893519612042,-6.220893519612042
185,1.85,-6.532976084132711,-6.532976084132711,-6.532976084132711
186,1.86,-6.862569732452324,-6.862569732452324,-6.862569732452324
187,1.87,-7.209759456667561,-7.209759456667561,-7.209759456667561
188,1.8800000000000001,-7.574442567843846,-7.574442567843846,-7.574442567843846
189,1.8900000000000001,-7.956264941701032,-7.956264941701032,-7.956264941701032
190,1.9000000000000001,-8.354550187124472,-8.354550187124472,-8.354550187124472
191,1.9100000000000001,-8.768221579782061,-8.768221579782061,-8.768221579782061
192,1.92,-9.195717196707529,-9.195717196707529,-9.195717196707529
193,1.93,-9.634899528990934,-9.634899528990934,-9.634899528990934
194,1.94,-10.0829619850544,-10.0829619850544,-10.0829619850544
195,1.95,-10.536336161159294,-10.536336161159294,-10.536336161159294
196,1.96,-10.990605556702272,-10.990605556702272,-10.990605556702272
197,1.97,-11.440433509085429,-11.440433509085429,-11.440433509085429
198,1.98,-11.879515400343163,-11.879515400343163,-11.879515400343163
199,1.99,-12.300567422591746,-12.300567422591746,-12.300567422591746
200,2.0,-12.695366024247313,-12.695366024247313,-12.695366024247313
201,2.0100000000000002,-13.054853086556069,-13.054853086556069,-13.054853086556069
202,2.02,-13.369321257481216,-13.369321257481216,-13.369321257481216
203,2.0300000000000002,-13.628690982112353,-13.628690982112353,-13.628690982112353
204,2.04,-13.822884957865835,-13.822884957865835,-13.822884957865835
205,2.05,-13.942296613331743,-13.942296613331743,-13.942296613331743
206,2.06,-13.97833689036161,-13.97833689036161,-13.97833689036161
207,2.07,-13.924029017947152,-13.924029017947152,-13.924029017947152
208,2.08,-13.77460598282401,-13.77460598282401,-13.77460598282401
209,2.09,-13.528052819413517,-13.528052819413517,-13.528052819413517
210,2.1,-13.185528993586287,-13.185528993586287,-13.185528993586287
211,2.11,-12.751608176483183,-12.751608176483183,-12.751608176483183
212,2.12,-12.234285551276708,-12.234285551276708,-12.234285551276708
213,2.13,-11.644726291912782,-11.644726291912782,-11.644726291912782
214,2.14,-10.9967601640072,-10.9967601640072,-10.9967601640072
215,2.15,-10.306161063897711,-10.306161063897711,-10.306161063897711
216,2.16,-9.589780147484657,-9.589780147484657,-9.589780147484657
217,2.17,-8.864620813680688,-8.864620813680688,-8.864620813680688
218,2.18,-8.146949166428946,-8.146949166428946,-8.146949166428946
219,2.19,-7.451523976908373,-7.451523976908373,-7.451523976908373
220,2.2,-6.791008336422841,-6.791008336422841,-6.791008336422841
221,2.21,-6.175596353601623,-6.175596353601623,-6.175596353601623
222,2.22,-5.612858510464731,-5.612858510464731,-5.612858510464731
223,2.23,-5.107783984779526,-5.107783984779526,-5.107783984779526
224,2.24,-4.662980790208623,-4.662980790208623,-4.662980790208623
225,2.25,-4.278986103601788,-4.278986103601788,-4.278986103601788
226,2.2600000000000002,-3.954638782229356,-3.954638782229356,-3.954638782229356
227,2.27,-3.6874717150525194,-3.6874717150525194,-3.6874717150525194
228,2.2800000000000002,-3.474090758718753,-3.474090758718753,-3.474090758718753
229,2.29,-3.3105172533808123,-3.3105172533808123,-3.3105172533808123
230,2.3000000000000003,-3.1924807575473473,-3.1924807575473473,-3.1924807575473473
231,2.31,-3.115656644968109,-3.115656644968109,-3.115656644968109
232,2.32,-3.0758491501382657,-3.0758491501382657,-3.0758491501382657
233,2.33,-3.0691243626556655,-3.0691243626556655,-3.0691243626556655
234,2.34,-3.0918998495804924,-3.0918998495804924,-3.0918998495804924
235,2.35,-3.140998434496443,-3.140998434496443,-3.140998434496443
236,2.36,-3.213673591058299,-3.213673591058299,-3.213673591058299
237,2.37,-3.307613269955887,-3.307613269955887,-3.307613269955887
238,2.38,-3.4209280437184715,-3.4209280437184715,-3.4209280437184715
239,2.39,-3.552128415068878,-3.552128415068878,-3.552128415068878
240,2.4,-3.700095113804708,-3.700095113804708,-3.700095113804708
241,2.41,-3.8640452733697344,-3.8640452733697344,-3.8640452733697344
242,2.42,-4.043496562783569,-4.043496562783569,-4.043496562783569
243,2.43,-4.238230659499685,-4.238230659499685,-4.238230659499685
244,2.44,-4.448256876840684,-4.448256876840684,-4.448256876840684
245,2.45,-4.6737762914405785,-4.6737762914405785,-4.6737762914405785
246,2.46,-4.915146334515311,-4.915146334515311,-4.915146334515311
247,2.47,-5.172845498970894,-5.172845498970894,-5.172845498970894
248,2.48,-5.447437557554661,-5.447437557554661,-5.447437557554661
249,2.49,-5.739534473779422,-5.739534473779422,-5.739534473779422
250,2.5,-6.049757009410096,-6.049757009410096,-6.049757009410096
251,2.5100000000000002,-6.378691886722528,-6.378691886722528,-6.378691886722528
252,2.52,-6.726844252822046,-6.726844252822046,-6.726844252822046
253,2.5300000000000002,-7.094584125898433,-7.094584125898433,-7.094584125898433
254,2.54,-7.482085496148611,-7.482085496148611,-7.482085496148611
255,2.5500000000000003,-7.8892568334251525,-7.8892568334251525,-7.8892568334251525
256,2.56,-8.315661956702607,-8.315661956702607,-8.315661956702607
257,2.57,-8.760430596686382,-8.760430596686382,-8.760430596686382
258,2.58,-9.22215859430383,-9.22215859430383,-9.22215859430383
259,2.59,-9.698798597108475,-9.698798597108475,-9.698798597108475
260,2.6,-10.187543420925277,-10.187543420925277,-10.187543420925277
261,2.61,-10.684706008198553,-10.684706008198553,-10.684706008198553
262,2.62,-11.185602186508886,-11.185602186508886,-11.185602186508886
263,2.63,-11.684445207363074,-11.684445207363074,-11.684445207363074
264,2.64,-12.174264231476144,-12.174264231476144,-12.174264231476144
265,2.65,-12.6468622858861,-12.6468622858861,-12.6468622858861
266,2.66,-13.09283231976765,-13.09283231976765,-13.09283231976765
267,2.67,-13.501652162715748,-13.501652162715748,-13.501652162715748
268,2.68,-13.861879530039538,-13.861879530039538,-13.861879530039538
269,2.69,-14.161465627448663,-14.161465627448663,-14.161465627448663
270,2.7,-14.388199263470208,-14.388199263470208,-14.388199263470208
271,2.71,-14.530281833990868,-14.530281833990868,-14.530281833990868
272,2.72,-14.577016937673262,-14.577016937673262,-14.577016937673262
273,2.73,-14.519577705891528,-14.519577705891528,-14.519577705891528
274,2.74,-14.351792702694556,-14.351792702694556,-14.351792702694556
275,2.75,-14.070871563309423,-14.070871563309423,-14.070871563309423
276,2.7600000000000002,-13.677979579867738,-13.677979579867738,-13.677979579867738
277,2.77,-13.178571355386355,-13.178571355386355,-13.178571355386355
278,2.7800000000000002,-12.582410900001744,-12.582410900001744,-12.582410900001744
279,2.79,-11.90323925710833,-11.90323925710833,-11.90323925710833
280,2.8000000000000003,-11.15809668467457,-11.15809668467457,-11.15809668467457
281,2.81,-10.366356292514704,-10.366356292514704,-10.366356292514704
282,2.82,-9.548569367092998,-9.548569367092998,-9.548569367092998
283,2.83,-8.725249673110984,-8.725249673110984,-8.725249673110984
284,2.84,-7.915728832662834,-7.915728832662834,-7.915728832662834
285,2.85,-7.137197082167016,-7.137197082167016,-7.137197082167016
286,2.86,-6.4040084807060484,-6.4040084807060484,-6.4040084807060484
287,2.87,-5.727285843461669,-5.727285843461669,-5.727285843461669
288,2.88,-5.114817951803836,-5.114817951803836,-5.114817951803836
289,2.89,-4.571207704675601,-4.571207704675601,-4.571207704675601
290,2.9,-4.098209073921955,-4.098209073921955,-4.098209073921955
291,2.91,-3.6951835199366503,-3.6951835199366503,-3.6951835199366503
292,2.92,-3.359610556385024,-3.359610556385024,-3.359610556385024
293,2.93,-3.0875985816966347,-3.0875985816966347,-3.0875985816966347
294,2.94,-2.8743569122759927,-2.8743569122759927,-2.8743569122759927
295,2.95,-2.7146048853226006,-2.7146048853226006,-2.7146048853226006
296,2.96,-2.602906805480231,-2.602906805480231,-2.602906805480231
297,2.97,-2.533931362727593,-2.533931362727593,-2.533931362727593
298,2.98,-2.5026407879634327,-2.5026407879634327,-2.5026407879634327
299,2.99,-2.50441881777228,-2.50441881777228,-2.50441881777228
300,3.0,-2.535148141087791,-2.535148141087791,-2.535148141087791
301,3.0100000000000002,-2.591248068922015,-2.591248068922015,-2.591248068922015
302,3.02,-2.6696822940490814,-2.6696822940490814,-2.6696822940490814
303,3.0300000000000002,-2.7679452480300917,-2.7679452480300917,-2.7679452480300917
304,3.04,-2.884034037807189,-2.884034037807189,-2.884034037807189
305,3.0500000000000003,-3.016411454023682,-3.016411454023682,-3.016411454023682
306,3.06,-3.1639641982901625,-3.1639641982901625,-3.1639641982901625
307,3.0700000000000003,-3.3259593240104373,-3.3259593240104373,-3.3259593240104373
308,3.08,-3.5020009326213333,-3.5020009326213333,-3.5020009326213333
309,3.09,-3.6919883992460485,-3.6919883992460485,-3.6919883992460485
310,3.1,-3.8960767931226368,-3.8960767931226368,-3.8960767931226368
311,3.11,-4.114639679630694,-4.114639679630694,-4.114639679630694
312,3.12,-4.348234113934606,-4.348234113934606,-4.348234113934606
313,3.13,-4.59756733570274,-4.59756733570274,-4.59756733570274
314,3.14,-4.863464428353726,-4.863464428353726,-4.863464428353726
315,3.15,-5.146835997225593,-5.146835997225593,-5.146835997225593
316,3.16,-5.448644735561085,-5.448644735561085,-5.448644735561085
317,3.17,-5.7698695762211685,-5.7698695762211685,-5.7698695762211685
318,3.18,-6.1114659663407185,-6.1114659663407185,-6.1114659663407185
319,3.19,-6.474320653100708,-6.474320653100708,-6.474320653100708
320,3.2,-6.859199239713083,-6.859199239713083,-6.859199239713083
321,3.21,-7.266684678714717,-7.266684678714717,-7.266684678714717
322,3.22,-7.697104843150147,-7.697104843150147,-7.697104843150147
323,3.23,-8.150447397860212,-8.150447397860212,-8.150447397860212
324,3.24,-8.626260443029883,-8.626260443029883,-8.626260443029883
325,3.25,-9.123537900841656,-9.123537900841656,-9.123537900841656
326,3.2600000000000002,-9.640589465674774,-9.640589465674774,-9.640589465674774
327,3.27,-10.174896260701038,-10.174896260701038,-10.174896260701038
328,3.2800000000000002,-10.722955272688356,-10.722955272688356,-10.722955272688356
329,3.29,-11.28011830010073,-11.28011830010073,-11.28011830010073
