,t,k=0,k=1,k=2
63,0.63,-6.83612872718465,-6.83612872718465,-6.83612872718465
64,0.64,-7.108816797469333,-7.108816797469333,-7.108816797469333
65,0.65,-7.390303253228693,-7.390303253228693,-7.390303253228693
66,0.66,-7.680051703268572,-7.680051703268572,-7.680051703268572
67,0.67,-7.977163098827477,-7.977163098827477,-7.977163098827477
68,0.68,-8.280351055734608,-8.280351055734608,-8.280351055734608
69,0.6900000000000001,-8.58791888249669,-8.58791888249669,-8.58791888249669
70,0.7000000000000001,-8.897741111565233,-8.897741111565233,-8.897741111565233
71,0.71,-9.207252867258944,-9.207252867258944,-9.207252867258944
72,0.72,-9.51345084940636,-9.51345084940636,-9.51345084940636
73,0.73,-9.812909970761773,-9.812909970761773,-9.812909970761773
74,0.74,-10.101819643504484,-10.101819643504484,-10.101819643504484
75,0.75,-10.376043243451072,-10.376043243451072,-10.376043243451072
76,0.76,-10.631203281381376,-10.631203281381376,-10.631203281381376
77,0.77,-10.86279321289842,-10.86279321289842,-10.86279321289842
78,0.78,-11.06631463124864,-11.06631463124864,-11.06631463124864
79,0.79,-11.237435928353504,-11.237435928353504,-11.237435928353504
80,0.8,-11.372165620267593,-11.372165620267593,-11.372165620267593
81,0.81,-11.46703077629029,-11.46703077629029,-11.46703077629029
82,0.8200000000000001,-11.519248808558057,-11.519248808558057,-11.519248808558057
83,0.8300000000000001,-11.52687972116505,-11.52687972116505,-11.52687972116505
84,0.84,-11.488946145288114,-11.488946145288114,-11.488946145288114
85,0.85,-11.405510272055313,-11.405510272055313,-11.405510272055313
86,0.86,-11.277700051850815,-11.277700051850815,-11.277700051850815
87,0.87,-11.107681396117092,-11.107681396117092,-11.107681396117092
88,0.88,-10.89857801042198,-10.89857801042198,-10.89857801042198
89,0.89,-10.654345208044104,-10.654345208044104,-10.654345208044104
90,0.9,-10.379607934626062,-10.379607934626062,-10.379607934626062
91,0.91,-10.079475775322388,-10.079475775322388,-10.079475775322388
92,0.92,-9.759348671143748,-9.759348671143748,-9.759348671143748
93,0.93,-9.424726475979806,-9.424726475979806,-9.424726475979806
94,0.9400000000000001,-9.081033614318383,-9.081033614318383,-9.081033614318383
95,0.9500000000000001,-8.733467378478403,-8.733467378478403,-8.733467378478403
96,0.96,-8.3868753087635,-8.3868753087635,-8.3868753087635
97,0.97,-8.045664063142913,-8.045664063142913,-8.045664063142913
98,0.98,-7.713739533138603,-7.713739533138603,-7.713739533138603
99,0.99,-7.3944758971342734,-7.3944758971342734,-7.3944758971342734
100,1.0,-7.090709893252735,-7.090709893252735,-7.090709893252735
101,1.01,-6.804755813087896,-6.804755813087896,-6.804755813087896
102,1.02,-6.53843647097643,-6.53843647097643,-6.53843647097643
103,1.03,-6.293125565044179,-6.293125565044179,-6.293125565044179
104,1.04,-6.069797284704685,-6.069797284704685,-6.069797284704685
105,1.05,-5.869079616344729,-5.869079616344729,-5.869079616344729
106,1.06,-5.691308458926809,-5.691308458926809,-5.691308458926809
107,1.07,-5.536580313999804,-5.536580313999804,-5.536580313999804
108,1.08,-5.4048019139195365,-5.4048019139195365,-5.4048019139195365
109,1.09,-5.29573567172505,-5.29573567172505,-5.29573567172505
110,1.1,-5.209040265088458,-5.209040265088458,-5.209040265088458
111,1.11,-5.144306004635892,-5.144306004635892,-5.144306004635892
112,1.12,-5.101084889965845,-5.101084889965845,-5.101084889965845
113,1.1300000000000001,-5.078915434742004,-5.078915434742004,-5.078915434742004
114,1.1400000000000001,-5.077342456659352,-5.077342456659352,-5.077342456659352
115,1.1500000000000001,-5.095932090294403,-5.095932090294403,-5.095932090294403
116,1.16,-5.134282301526652,-5.134282301526652,-5.134282301526652
117,1.17,-5.192029170903682,-5.192029170903682,-5.192029170903682
118,1.18,-5.268849178353037,-5.268849178353037,-5.268849178353037
119,1.19,-5.364457670270822,-5.364457670270822,-5.364457670270822
120,1.2,-5.478603628663745,-5.478603628663745,-5.478603628663745
121,1.21,-5.611060796629498,-5.611060796629498,-5.611060796629498
122,1.22,-5.7616151508933955,-5.7616151508933955,-5.7616151508933955
123,1.23,-5.93004865660094,-5.93004865660094,-5.93004865660094
124,1.24,-6.116119199134772,-6.116119199134772,-6.116119199134772
125,1.25,-6.319536570669259,-6.319536570669259,-6.319536570669259
126,1.26,-6.539934405405805,-6.539934405405805,-6.539934405405805
127,1.27,-6.7768380186988875,-6.7768380186988875,-6.7768380186988875
128,1.28,-7.029628225135966,-7.029628225135966,-7.029628225135966
129,1.29,-7.2975014039354384,-7.2975014039354384,-7.2975014039354384
130,1.3,-7.579426361802396,-7.579426361802396,-7.579426361802396
131,1.31,-7.874098926750095,-7.874098926750095,-7.874098926750095
132,1.32,-8.17989569930193,-8.17989569930193,-8.17989569930193
133,1.33,-8.494828988064649,-8.494828988064649,-8.494828988064649
134,1.34,-8.816505647219714,-8.816505647219714,-8.816505647219714
135,1.35,-9.142093273551996,-9.142093273551996,-9.142093273551996
136,1.36,-9.46829794010734,-9.46829794010734,-9.46829794010734
137,1.37,-9.791358237729193,-9.791358237729193,-9.791358237729193
138,1.3800000000000001,-10.107060725000089,-10.107060725000089,-10.107060725000089
139,1.3900000000000001,-10.410781784942113,-10.410781784942113,-10.410781784942113
140,1.4000000000000001,-10.697560179022847,-10.697560179022847,-10.697560179022847
141,1.41,-10.96220312663875,-10.96220312663875,-10.96220312663875
142,1.42,-11.19942644278488,-11.19942644278488,-11.19942644278488
143,1.43,-11.404026180966248,-11.404026180966248,-11.404026180966248
144,1.44,-11.571075561201384,-11.571075561201384,-11.571075561201384
145,1.45,-11.696137108731131,-11.696137108731131,-11.696137108731131
146,1.46,-11.775476446044618,-11.775476446044618,-11.775476446044618
147,1.47,-11.806261715372413,-11.806261715372413,-11.806261715372413
148,1.48,-11.786731769516184,-11.786731769516184,-11.786731769516184
149,1.49,-11.716317474739586,-11.716317474739586,-11.716317474739586
150,1.5,-11.595703812684516,-11.595703812684516,-11.595703812684516
151,1.51,-11.426825639812405,-11.426825639812405,-11.426825639812405
152,1.52,-11.212796275290998,-11.212796275290998,-11.212796275290998
153,1.53,-10.957774602531359,-10.957774602531359,-10.957774602531359
154,1.54,-10.666782095495789,-10.666782095495789,-10.666782095495789
155,1.55,-10.345485293502835,-10.345485293502835,-10.345485293502835
156,1.56,-9.999961256584193,-9.999961256584193,-9.999961256584193
157,1.57,-9.636463355439261,-9.636463355439261,-9.636463355439261
158,1.58,-9.261202681613783,-9.261202681613783,-9.261202681613783
159,1.59,-8.880156964367584,-8.880156964367584,-8.880156964367584
160,1.6,-8.49891482078681,-8.49891482078681,-8.49891482078681
161,1.61,-8.122559079695321,-8.122559079695321,-8.122559079695321
162,1.62,-7.755589303098375,-7.755589303098375,-7.755589303098375
163,1.6300000000000001,-7.401880788317906,-7.401880788317906,-7.401880788317906
164,1.6400000000000001,-7.0646753900968156,-7.0646753900968156,-7.0646753900968156
165,1.6500000000000001,-6.7465984245096955,-6.7465984245096955,-6.7465984245096955
166,1.6600000000000001,-6.449695575910891,-6.449695575910891,-6.449695575910891
167,1.67,-6.175483946415481,-6.175483946415481,-6.175483946415481
168,1.68,-5.925011979166232,-5.925011979166232,-5.925011979166232
169,1.69,-5.698923786214111,-5.698923786214111,-5.698923786214111
170,1.7,-5.497524287173232,-5.497524287173232,-5.497524287173232
171,1.71,-5.320842421134758,-5.320842421134758,-5.320842421134758
172,1.72,-5.1686904712214,-5.1686904712214,-5.1686904712214
173,1.73,-5.040718206258185,-5.040718206258185,-5.040718206258185
174,1.74,-4.936461085691547,-4.936461085691547,-4.936461085691547
175,1.75,-4.85538219440087,-4.85538219440087,-4.85538219440087
176,1.76,-4.796907884028874,-4.796907884028874,-4.796907884028874
177,1.77,-4.760457311651363,-4.760457311651363,-4.760457311651363
178,1.78,-4.745466201003109,-4.745466201003109,-4.745466201003109
179,1.79,-4.7514052215167375,-4.7514052215167375,-4.7514052215167375
180,1.8,-4.777793400024194,-4.777793400024194,-4.777793400024194
181,1.81,-4.824206961076792,-4.824206961076792,-4.824206961076792
182,1.82,-4.890283944434447,-4.890283944434447,-4.890283944434447
183,1.83,-4.975724880540524,-4.975724880540524,-4.975724880540524
184,1.84,-5.080289723463883,-5.080289723463883,-5.080289723463883
185,1.85,-5.203791151549171,-5.203791151549171,-5.203791151549171
186,1.86,-5.346084254008802,-5.346084254008802,-5.346084254008802
187,1.87,-5.507052532019822,-5.507052532019822,-5.507052532019822
188,1.8800000000000001,-5.6865900611865,-5.6865900611865,-5.6865900611865
189,1.8900000000000001,-5.884579595248569,-5.884579595248569,-5.884579595248569
190,1.9000000000000001,-6.100866347147126,-6.100866347147126,-6.100866347147126
191,1.9100000000000001,-6.335227173831265,-6.335227173831265,-6.335227173831265
192,1.92,-6.58733492916011,-6.58733492916011,-6.58733492916011
193,1.93,-6.856717851698807,-6.856717851698807,-6.856717851698807
194,1.94,-7.1427140408490155,-7.1427140408490155,-7.1427140408490155
195,1.95,-7.444421367392778,-7.444421367392778,-7.444421367392778
196,1.96,-7.76064358504221,-7.76064358504221,-7.76064358504221
197,1.97,-8.08983397638271,-8.08983397638271,-8.08983397638271
198,1.98,-8.430038589054652,-8.430038589054652,-8.430038589054652
