,t,nb_pts,k=0,k=1,k=2,k=3,k=4
0,0.0,671.0,5.0,5.0,5.0,5.0,5.0
1,6.7,660.0,15.628301556300244,22.266968157361575,22.266968157361575,22.266968157361575,22.266968157361575
2,13.3,670.0,21.25986302062777,26.409295006856105,32.914290967165485,28.086422991714283,28.086422991714283
