,t,k=0,k=1,k=2
1264,12.64,23.566259654864904,23.566259654864904,38.43889505658077
1265,12.65,22.943344132906393,22.943344132906393,37.65776664184698
1266,12.66,22.338362531367046,22.338362531367046,36.776269409381435
1267,12.67,21.750555431676766,21.750555431676766,35.83136919730041
1268,12.68,21.1792331221973,21.1792331221973,34.8533622706838
1269,12.69,20.623773033548577,20.623773033548577,33.865748483844236
1270,12.700000000000001,20.083614507932772,20.083614507932772,32.88576428771256
1271,12.71,19.558252488142408,19.558252488142408,31.925285297253637
1272,12.72,19.047231133655288,19.047231133655288,30.99186708903809
1273,12.73,18.550137964512484,18.550137964512484,30.089765153472502
1274,12.74,18.066598858760887,18.066598858760887,29.220841089412172
1275,12.75,17.596274052332628,17.596274052332628,28.385313307980873
1276,12.76,17.138855184075833,17.138855184075833,27.582345104697385
1277,12.77,16.69406337214764,16.69406337214764,26.81048326332244
1278,12.780000000000001,16.26164828538923,16.26164828538923,26.06797006174024
1279,12.790000000000001,15.841388173297752,15.841388173297752,25.352954283553295
1280,12.8,15.433090832963359,15.433090832963359,24.66362551573131
1281,12.81,15.03659551571164,15.03659551571164,23.99829270174196
1282,12.82,14.651775807053161,14.651775807053161,23.35542394452493
1283,12.83,14.278543549239906,14.278543549239906,22.7336606747384
1284,12.84,13.9168539156719,13.9168539156719,22.13181589387494
1285,12.85,13.56671179075114,13.56671179075114,21.548863407143273
1286,12.86,13.22817965823783,13.22817965823783,20.983922779765905
1287,12.870000000000001,12.901387256778788,12.901387256778788,20.43624311702502
1288,12.88,12.586543324325156,12.586543324325156,19.905187591073354
1289,12.89,12.283949825004656,12.283949825004656,19.39021982126718
1290,12.9,11.994019133974621,11.994019133974621,18.890892673437293
1291,12.91,11.71729474890688,11.71729474890688,18.406839704626066
1292,12.92,11.454476201533794,11.454476201533794,17.937769285532195
1293,12.93,11.20644895858673,11.20644895858673,17.483461338901297
1294,12.94,10.974320226243664,10.974320226243664,17.043766605637597
1295,12.950000000000001,10.759461700883593,10.759461700883593,16.6186083681311
1296,12.96,10.563560432257203,10.563560432257203,16.207986606134988
1297,12.97,10.38867906736351,10.38867906736351,15.811984623895082
1298,12.98,10.237326798946766,10.237326798946766,15.430778261465944
1299,12.99,10.112542312093439,10.112542312093439,15.064647884269101
1300,13.0,10.017989846322882,10.017989846322882,14.713993430641127
1301,13.01,9.958069081236344,9.958069081236344,14.379352885869428
1302,13.02,9.938038785691452,9.938038785691452,14.061424641536242
1303,13.030000000000001,9.964152868524932,9.964152868524932,13.761094288654572
1304,13.040000000000001,10.043805396473491,10.043805396473491,13.479466478236564
1305,13.05,10.185677995037581,10.185677995037581,13.217902557053412
1306,13.06,10.399878443509566,10.399878443509566,12.97806473882313
1307,13.07,10.698052791380256,10.698052791380256,12.76196758537859
1308,13.08,11.09344455131513,11.09344455131513,12.572037523640757
1309,13.09,11.600863208685112,11.600863208685112,12.411180976009403
1310,13.1,12.236510579640571,12.236510579640571,12.282861382040043
1311,13.11,13.017598419887625,13.017598419887625,12.191184865469577
1312,13.120000000000001,13.961676536551197,13.961676536551197,12.140993454322922
1313,13.13,15.085582094782996,15.085582094782996,12.137963463356204
1314,13.14,16.403925419040014,16.403925419040014,12.188704733332465
1315,13.15,17.927056216338272,17.927056216338272,12.300853693613723
1316,13.16,19.658519902295314,19.658519902295314,12.483149455668993
1317,13.17,21.59212840275194,21.59212840275194,12.74547714853895
1318,13.18,23.708936677383406,23.708936677383406,13.098856340835175
1319,13.19,25.974618942086817,25.974618942086817,13.555344713212321
1320,13.200000000000001,28.337929628881607,28.337929628881607,14.127818576620191
1321,13.21,30.73103047129685,30.73103047129685,14.829583437828495
1322,13.22,33.072363098394796,33.072363098394796,15.67376163758534
1323,13.23,35.27236519415607,35.27236519415607,16.67240351541332
1324,13.24,37.24167424321523,37.24167424321523,17.835278554281064
1325,13.25,38.900683517049146,38.900683517049146,19.168329884720194
1326,13.26,40.18868823073634,40.18868823073634,20.6718260634055
1327,13.27,41.070688664578306,41.070688664578306,22.338322717371337
1328,13.280000000000001,41.54036231520113,41.54036231520113,24.150651635756898
1329,13.290000000000001,41.61867283151483,41.61867283151483,26.080272547915207
1330,13.3,41.34869840451797,41.34869840451797,28.086422991684667
1331,13.31,40.78811530790413,40.78811530790413,30.116537784558954
1332,13.32,40.00108918400276,40.00108918400276,32.10832863404957
1333,13.33,39.05109470325694,39.05109470325694,33.993679403520936
1334,13.34,37.99560700187348,37.99560700187348,35.70413305016609
1335,13.35,36.88296102276431,36.88296102276431,37.1773012793706
1336,13.36,35.75116835975382,35.75116835975382,38.36315967187011
1337,13.370000000000001,34.628203041002386,34.628203041002386,39.22905642047989
1338,13.38,33.53319963179551,33.53319963179551,39.762456951039105
1339,13.39,32.478077387766945,32.478077387766945,39.970939862638566
1340,13.4,31.469235858009323,31.469235858009323,39.879593990951705
1341,13.41,30.50910398113316,30.50910398113316,39.526524476573
1342,13.42,29.597436393944378,29.597436393944378,38.95748248065232
1343,13.43,28.732328159749887,28.732328159749887,38.22062992475381
1344,13.44,27.910965230383532,27.910965230383532,37.36220097515829
1345,13.450000000000001,27.130150352117276,27.130150352117276,36.423458777909744
1346,13.46,26.386650967757735,26.386650967757735,35.43900085802505
1347,13.47,25.67741361355705,25.67741361355705,34.436222414624574
1348,13.48,24.99968302579008,24.99968302579008,33.435626573327696
1349,13.49,24.351056558883275,24.351056558883275,32.4516541972743
1350,13.5,23.729497170996815,23.729497170996815,31.493754282156072
1351,13.51,23.133321893956982,23.133321893956982,30.567491622218316
1352,13.52,22.561177604510135,22.561177604510135,29.675564647909276
1353,13.530000000000001,22.012012015034916,22.012012015034916,28.81866891712402
1354,13.540000000000001,21.4850449438011,21.4850449438011,27.996186181994805
1355,13.55,20.979742909268538,20.979742909268538,27.206706492283477
1356,13.56,20.495798726972176,20.495798726972176,26.448405162380006
1357,13.57,20.033116903264613,20.033116903264613,25.719301766248005
1358,13.58,19.591805080296037,19.591805080296037,25.017428174038006
1359,13.59,19.172171483491727,19.172171483491727,24.340929617231314
1360,13.6,18.774728174434646,18.774728174434646,23.688118591689754
1361,13.61,18.400199856977103,18.400199856977103,23.057497106765908
