,t,x
11076,11.076,-0.18404600138270813
11077,11.077,-0.18365232444898294
11078,11.078,-0.18325405621671118
11079,11.079,-0.18285120664257845
11080,11.08,-0.18244378579780374
11081,11.081,-0.18203180386788576
11082,11.082,-0.1816152711523519
11083,11.083,-0.181194198064499
11084,11.084,-0.180768595131131
11085,11.085,-0.1803384729922998
11086,11.086,-0.179903842401037
11087,11.087,-0.17946471422308355
11088,11.088000000000001,-0.17902109943662162
11089,11.089,-0.17857300913199842
11090,11.09,-0.17812045451144698
11091,11.091000000000001,-0.1776634468888098
11092,11.092,-0.17720199768925438
11093,11.093,-0.17673611844898532
11094,11.094,-0.17626582081496073
11095,11.095,-0.17579111654459556
11096,11.096,-0.1753120175054726
11097,11.097,-0.17482853567504347
11098,11.098,-0.17434068314032744
11099,11.099,-0.17384847209761312
11100,11.1,-0.17335191485215168
11101,11.101,-0.17285102381784698
11102,11.102,-0.17234581151694947
11103,11.103,-0.17183629057974106
11104,11.104000000000001,-0.17132247374421727
11105,11.105,-0.1708043738557729
11106,11.106,-0.17028200386687892
11107,11.107000000000001,-0.16975537683675637
11108,11.108,-0.16922450593105434
11109,11.109,-0.16868940442151856
11110,11.11,-0.16815008568565812
11111,11.111,-0.16760656320641182
11112,11.112,-0.1670588505718164
11113,11.113,-0.16650696147465768
11114,11.114,-0.16595090971213275
11115,11.115,-0.16539070918550985
11116,11.116,-0.1648263738997714
11117,11.117,-0.16425791796326858
11118,11.118,-0.16368535558737338
11119,11.119,-0.16310870108611375
11120,11.120000000000001,-0.16252796887582055
11121,11.121,-0.16194317347477213
11122,11.122,-0.16135432950282136
11123,11.123000000000001,-0.16076145168103523
11124,11.124,-0.16016455483133174
11125,11.125,-0.15956365387609933
11126,11.126,-0.15895876383783067
11127,11.127,-0.1583498998387434
11128,11.128,-0.1577370771004093
11129,11.129,-0.15712031094336315
11130,11.13,-0.15649961678672497
11131,11.131,-0.15587501014781996
11132,11.132,-0.15524650664177972
11133,11.133000000000001,-0.15461412198115737
11134,11.134,-0.15397787197554014
11135,11.135,-0.15333777253114314
11136,11.136000000000001,-0.1526938396504174
11137,11.137,-0.15204608943165507
11138,11.138,-0.15139453806857597
11139,11.139,-0.15073920184993028
11140,11.14,-0.15008009715908752
11141,11.141,-0.14941724047363428
11142,11.142,-0.14875064836495133
11143,11.143,-0.1480803374978048
11144,11.144,-0.14740632462993525
11145,11.145,-0.14672862661162736
11146,11.146,-0.14604726038529434
11147,11.147,-0.14536224298506026
11148,11.148,-0.1446735915363225
11149,11.149000000000001,-0.14398132325532945
11150,11.15,-0.143285455448756
11151,11.151,-0.14258600551325915
11152,11.152000000000001,-0.14188299093504875
11153,11.153,-0.14117642928945676
11154,11.154,-0.14046633824048546
11155,11.155,-0.13975273554037307
11156,11.156,-0.13903563902915098
11157,11.157,-0.13831506663419557
11158,11.158,-0.13759103636977724
11159,11.159,-0.1368635663366158
11160,11.16,-0.13613267472142535
11161,11.161,-0.13539837979645603
11162,11.162,-0.13466069991904378
11163,11.163,-0.13391965353114818
11164,11.164,-0.13317525915888823
11165,11.165000000000001,-0.1324275354120855
11166,11.166,-0.1316765009837958
11167,11.167,-0.1309221746498386
11168,11.168000000000001,-0.130164575268334
11169,11.169,-0.12940372177922815
11170,11.17,-0.12863963320381652
11171,11.171,-0.12787232864427586
11172,11.172,-0.12710182728317804
11173,11.173,-0.12632814838301798
11174,11.174,-0.12555131128572905
11175,11.175,-0.12477133541219601
11176,11.176,-0.12398824026177613
11177,11.177,-0.12320204541180857
11178,11.178,-0.12241277051712135
11179,11.179,-0.12162043530954686
11180,11.18,-0.12082505959742516
11181,11.181000000000001,-0.12002666326510535
11182,11.182,-0.11922526627245529
11183,11.183,-0.11842088865435921
11184,11.184000000000001,-0.11761355052021338
11185,11.185,-0.11680327205343025
11186,11.186,-0.11599007351093041
11187,11.187,-0.11517397522263398
11188,11.188,-0.11435499759095327
11189,11.189,-0.1135331610902911
11190,11.19,-0.11270848626651486
11191,11.191,-0.11188099373644987
11192,11.192,-0.11105070418737091
11193,11.193,-0.1102176383764712
11194,11.194,-0.10938181713035017
11195,11.195,-0.10854326134450021
11196,11.196,-0.10770199198276996
11197,11.197000000000001,-0.1068580300768472
11198,11.198,-0.10601139672574043
11199,11.199,-0.10516211309523696
11200,11.200000000000001,-0.10431020041738087
11201,11.201,-0.1034556799899496
11202,11.202,-0.10259857317590688
11203,11.203,-0.10173890140287722
11204,11.204,-0.10087668616261139
11205,11.205,-0.1000119490104467
11206,11.206,-0.0991447115647645
11207,11.207,-0.09827499550645692
11208,11.208,-0.09740282257838143
11209,11.209,-0.0965282145848133
11210,11.21,-0.09565119339090804
11211,11.211,-0.09477178092215109
11212,11.212,-0.09388999916380586
11213,11.213000000000001,-0.09300587016037164
11214,11.214,-0.09211941601502871
11215,11.215,-0.09123065888908204
11216,11.216000000000001,-0.09033962100141472
11217,11.217,-0.08944632462792883
11218,11.218,-0.08855079210098461
11219,11.219,-0.08765304580885118
11220,11.22,-0.0867531081951365
11221,11.221,-0.08585100175823533
11222,11.222,-0.08494674905076288
11223,11.223,-0.0840403726789872
11224,11.224,-0.08313189530227164
11225,11.225,-0.0822213396325046
11226,11.226,-0.0813087284335278
11227,11.227,-0.08039408452057498
11228,11.228,-0.07947743075969765
11229,11.229000000000001,-0.07855879006718947
11230,11.23,-0.07763818540902119
11231,11.231,-0.07671563980026266
11232,11.232000000000001,-0.07579117630450342
11233,11.233,-0.07486481803328403
11234,11.234,-0.0739365881455143
11235,11.235,-0.07300650984689182
11236,11.236,-0.07207460638932293
11237,11.237,-0.07114090107035086
11238,11.238,-0.07020541723255726
11239,11.239,-0.06926817826298672
11240,11.24,-0.06832920759256998
11241,11.241,-0.06738852869552224
11242,11.242,-0.06644616508876426
11243,11.243,-0.06550214033134247
11244,11.244,-0.06455647802382396
11245,11.245000000000001,-0.0636092018077145
11246,11.246,-0.06266033536487549
11247,11.247,-0.06170990241691592
11248,11.248000000000001,-0.06075792672460728
11249,11.249,-0.059804432087297715
11250,11.25,-0.05884944234230077
11251,11.251,-0.05789298136431035
11252,11.252,-0.05693507306479835
11253,11.253,-0.05597574139142783
11254,11.254,-0.05501501032743791
11255,11.255,-0.05405290389105244
11256,11.256,-0.05308944613488769
11257,11.257,-0.05212466114533464
11258,11.258000000000001,-0.05115857304196503
11259,11.259,-0.05019120597693663
11260,11.26,-0.04922258413437293
11261,11.261000000000001,-0.04825273172976679
11262,11.262,-0.047281673009383324
11263,11.263,-0.046309432249637204
11264,11.264,-0.0453360337564968
11265,11.265,-0.04436150186487096
11266,11.266,-0.043385860938011764
11267,11.267,-0.04240913536688879
11268,11.268,-0.04143134956958769
11269,11.269,-0.040452527990708
11270,11.27,-0.03947269510073544
11271,11.271,-0.03849187539543845
11272,11.272,-0.03751009339526414
11273,11.273,-0.0365273736447086
11274,11.274000000000001,-0.03554374071171162
11275,11.275,-0.03455921918705087
11276,11.276,-0.033573833683710405
11277,11.277000000000001,-0.03258760883627368
11278,11.278,-0.03160056930031612
11279,11.279,-0.03061273975177192
11280,11.28,-0.029624144886326934
11281,11.281,-0.028634809418802705
11282,11.282,-0.027644758082535817
11283,11.283,-0.02665401562875528
11284,11.284,-0.025662606825972257
11285,11.285,-0.024670556459356587
11286,11.286,-0.023677889330112944
11287,11.287,-0.022684630254869276
11288,11.288,-0.02169080406505213
11289,11.289,-0.02069643560626168
11290,11.290000000000001,-0.019701549737659012
11291,11.291,-0.01870617133134043
11292,11.292,-0.01771032527171144
11293,11.293000000000001,-0.016714036454873064
11294,11.294,-0.01571732978799525
11295,11.295,-0.014720230188689938
11296,11.296,-0.013722762584398
11297,11.297,-0.01272495191175476
11298,11.298,-0.011726823115976484
11299,11.299,-0.010728401150232499
11300,11.3,-0.009729710975017111
11301,11.301,-0.0087307775575341
11302,11.302,-0.0077316258710683
11303,11.303,-0.0067322808943569915
11304,11.304,-0.005732767610973964
11305,11.305,-0.004733111008700663
11306,11.306000000000001,-0.0037333360788972397
11307,11.307,-0.002733467815886289
11308,11.308,-0.0017335312163237302
11309,11.309000000000001,-0.0007335512785696299
11310,11.31,0.0002664469979282289
11311,11.311,0.0012664386132635959
11312,11.312,0.002266398567699591
11313,11.313,0.003266301862292278
11314,11.314,0.004266123499505685
11315,11.315,0.005265838483853799
11316,11.316,0.006265421822516919
11317,11.317,0.0072648485259579594
11318,11.318,0.008264093608564227
11319,11.319,0.009263132089263543
11320,11.32,0.010261938992140243
11321,11.321,0.011260489347076614
11322,11.322000000000001,0.012258758190368629
11323,11.323,0.013256720565341523
11324,11.324,0.01425435152299074
11325,11.325000000000001,0.01525162612259713
11326,11.326,0.016248519432341974
11327,11.327,0.017245006529947288
11328,11.328,0.018241062503288944
11329,11.329,0.019236662451018075
11330,11.33,0.020231781483186426
11331,11.331,0.021226394721872845
11332,11.332,0.022220477301796757
11333,11.333,0.02321400437094403
11334,11.334,0.024206951091192502
11335,11.335,0.02519929263892447
11336,11.336,0.02619100420565152
11337,11.337,0.027182060998638947
11338,11.338000000000001,0.02817243824151714
11339,11.339,0.029162111174905206
11340,11.34,0.03015105505703416
11341,11.341000000000001,0.031139245164357055
11342,11.342,0.03212665679217127
11343,11.343,0.03311326525524035
11344,11.344,0.03409904588840129
11345,11.345,0.03508397404719242
11346,11.346,0.036068025108459655
11347,11.347,0.03705117447097631
11348,11.348,0.03803339755606235
11349,11.349,0.039014669808190384
11350,11.35,0.03999496669560384
11351,11.351,0.04097426371093436
11352,11.352,0.04195253637180618
11353,11.353,0.04292976022145235
11354,11.354000000000001,0.04390591082933029
11355,11.355,0.04488096379172426
11356,11.356,0.0458548947323596
11357,11.357000000000001,0.04682767930301629
11358,11.358,0.047799293184129336
11359,11.359,0.04876971208540095
11360,11.36,0.049738911746410513
11361,11.361,0.05070686793721975
11362,11.362,0.05167355645896876
11363,11.363,0.05263895314449765
11364,11.364,0.05360303385894227
11365,11.365,0.054565774500329504
11366,11.366,0.05552715100019619
11367,11.367,0.05648713932418264
11368,11.368,0.057445715472625294
11369,11.369,0.05840285548117309
11370,11.370000000000001,0.059358535421378394
11371,11.371,0.06031273140128704
11372,11.372,0.06126541956605193
11373,11.373000000000001,0.062216576098521284
11374,11.374,0.06316617721982591
11375,11.375,0.06411419918998995
11376,11.376,0.06506061830851352
11377,11.377,0.06600541091497064
11378,11.378,0.06694855338958998
11379,11.379,0.06789002215386147
11380,11.38,0.06882979367111773
11381,11.381,0.06976784444711444
11382,11.382,0.0707041510306337
11383,11.383000000000001,0.07163869001406235
11384,11.384,0.07257143803396918
11385,11.385,0.07350237177170492
11386,11.386000000000001,0.07443146795397725
11387,11.387,0.07535870335342473
11388,11.388,0.07628405478921331
11389,11.389000000000001,0.07720749912760791
11390,11.39,0.07812901328254292
11391,11.391,0.07904857421621508
11392,11.392,0.07996615893964894
11393,11.393,0.08088174451327683
11394,11.394,0.08179530804750186
11395,11.395,0.08270682670328589
11396,11.396,0.08361627769271254
11397,11.397,0.08452363827954933
11398,11.398,0.08542888577983138
11399,11.399000000000001,0.08633199756242094
11400,11.4,0.0872329510495653
11401,11.401,0.08813172371747682
11402,11.402000000000001,0.08902829309688814
11403,11.403,0.0899226367736064
11404,11.404,0.09081473238908877
11405,11.405,0.09170455764099261
11406,11.406,0.09259209028373169
11407,11.407,0.09347730812903493
11408,11.408,0.0943601890465048
11409,11.409,0.0952407109641631
11410,11.41,0.0961188518690065
11411,11.411,0.0969945898075606
11412,11.412,0.0978679028864213
11413,11.413,0.09873876927280589
11414,11.414,0.09960716719510254
11415,11.415000000000001,0.10047307494340718
11416,11.416,0.10133647087006999
11417,11.417,0.10219733339024017
11418,11.418000000000001,0.10305564098239842
11419,11.419,0.10391137218889833
11420,11.42,0.1047645056165068
11421,11.421,0.10561501993693011
11422,11.422,0.10646289388735697
11423,11.423,0.1073081062709816
11424,11.424,0.10815063595753723
11425,11.425,0.10899046188382794
11426,11.426,0.10982756305424812
11427,11.427,0.11066191854131098
11428,11.428,0.1114935074861751
11429,11.429,0.11232230909915902
11430,11.43,0.11314830266026439
11431,11.431000000000001,0.11397146751969758
11432,11.432,0.11479178309837877
11433,11.433,0.11560922888846009
11434,11.434000000000001,0.11642378445384163
11435,11.435,0.11723542943067558
11436,11.436,0.11804414352787862
11437,11.437,0.1188499065276416
11438,11.438,0.11965269828593378
11439,11.439,0.1204524987329984
11440,11.44,0.1212492878738683
11441,11.441,0.12204304578885863
11442,11.442,0.12283375263405841
11443,11.443,0.12362138864183994
11444,11.444,0.12440593412134625
11445,11.445,0.12518736945897677
11446,11.446,0.12596567511889098
11447,11.447000000000001,0.12674083164349015
11448,11.448,0.12751281965389713
11449,11.449,0.12828161985045403
11450,11.450000000000001,0.12904721301319816
11451,11.451,0.129809580002336
11452,11.452,0.1305687017587347
11453,11.453,0.13132455930439096
11454,11.454,0.1320771337429044
11455,11.455,0.13282640625995223
11456,11.456,0.13357235812376267
11457,11.457,0.1343149706855769
11458,11.458,0.1350542253801185
11459,11.459,0.1357901037260607
11460,11.46,0.13652258732648215
11461,11.461,0.13725165786932997
11462,11.462,0.13797729712788057
11463,11.463000000000001,0.1386994869611893
11464,11.464,0.1394182093145469
11465,11.465,0.14013344621993404
11466,11.466000000000001,0.14084517979646424
11467,11.467,0.14155339225083424
11468,11.468,0.14225806587777154
11469,11.469,0.14295918306047015
11470,11.47,0.14365672627103904
11471,11.471,0.14435067807093324
11472,11.472,0.14504102111139297
11473,11.473,0.1457277381338801
11474,11.474,0.14641081197050385
11475,11.475,0.14709022554445295
11476,11.476,0.14776596187042532
11477,11.477,0.1484380040550471
11478,11.478,0.14910633529729767
11479,11.479000000000001,0.1497709388889327
11480,11.48,0.15043179821489605
11481,11.481,0.15108889675373813
11482,11.482000000000001,0.15174221807803145
11483,11.483,0.15239174585477608
11484,11.484,0.15303746384581046
11485,11.485,0.15367935590821943
11486,11.486,0.15431740599473662
11487,11.487,0.15495159815413947
11488,11.488,0.15558191653165887
11489,11.489,0.15620834536937
11490,11.49,0.15683086900658094
11491,11.491,0.157449471880235
11492,11.492,0.1580641385252943
11493,11.493,0.1586748535751212
11494,11.494,0.15928160176187306
11495,11.495000000000001,0.1598843679168785
11496,11.496,0.16048313697101158
11497,11.497,0.16107789395507888
11498,11.498000000000001,0.16166862400018847
11499,11.499,0.16225531233811663
11500,11.5,0.1628379443016871
11501,11.501,0.1634165053251312
11502,11.502,0.16399098094445505
11503,11.503,0.16456135679779485
11504,11.504,0.16512761862578562
11505,11.505,0.16568975227191274
11506,11.506,0.16624774368286113
11507,11.507,0.16680157890887617
11508,11.508000000000001,0.16735124410410765
11509,11.509,0.16789672552695115
11510,11.51,0.1684380095404011
11511,11.511000000000001,0.1689750826123869
11512,11.512,0.1695079313161066
11513,11.513,0.170036542330372
11514,11.514000000000001,0.17056090243993663
11515,11.515,0.17108099853582218
11516,11.516,0.1715968176156548
11517,11.517,0.17210834678398435
11518,11.518,0.1726155732526097
11519,11.519,0.17311848434089272
11520,11.52,0.17361706747608377
11521,11.521,0.1741113101936319
11522,11.522,0.17460120013749206
11523,11.523,0.17508672506044262
11524,11.524000000000001,0.1755678728243871
11525,11.525,0.17604463140065377
11526,11.526,0.17651698887030443
11527,11.527000000000001,0.17698493342442823
11528,11.528,0.17744845336443305
11529,11.529,0.17790753710234586
11530,11.53,0.1783621731610978
11531,11.531,0.17881235017481037
11532,11.532,0.17925805688908106
11533,11.533,0.17969928216126652
11534,11.534,0.1801360149607573
11535,11.535,0.18056824436925548
11536,11.536,0.18099595958104966
11537,11.537,0.18141914990328115
11538,11.538,0.1818378047562134
11539,11.539,0.18225191367349802
11540,11.540000000000001,0.18266146630243307
11541,11.541,0.18306645240422362
11542,11.542,0.18346686185423933
11543,11.543000000000001,0.18386268464226424
11544,11.544,0.1842539108727487
11545,11.545,0.18464053076505849
11546,11.546,0.18502253465371524
11547,11.547,0.18539991298864278
11548,11.548,0.18577265633540185
11549,11.549,0.18614075537542765
11550,11.55,0.1865042009062644
11551,11.551,0.18686298384179229
11552,11.552,0.18721709521245603
11553,11.553,0.18756652616549085
11554,11.554,0.1879112679651406
11555,11.555,0.18825131199287778
11556,11.556000000000001,0.18858664974762038
11557,11.557,0.18891727284594148
11558,11.558,0.18924317302228041
11559,11.559000000000001,0.18956434212915063
11560,11.56,0.18988077213734078
11561,11.561,0.19019245513611668
11562,11.562,0.19049938333341998
11563,11.563,0.1908015490560627
11564,11.564,0.1910989447499157
11565,11.565,0.19139156298010304
11566,11.566,0.19167939643118498
11567,11.567,0.19196243790733863
11568,11.568,0.19224068033254263
