,t,k=0,k=1,k=2,k=3,k=4
76,0.076,8.105865412210045,8.105865412210045,8.105865412210045,8.105865412210045,8.105865412210045
77,0.077,8.192160073852357,8.192160073852357,8.192160073852357,8.192160073852357,8.192160073852357
78,0.078,8.280207033214513,8.280207033214513,8.280207033214513,8.280207033214513,8.280207033214513
79,0.079,8.370033741987086,8.370033741987086,8.370033741987086,8.370033741987086,8.370033741987086
80,0.08,8.461667845913748,8.461667845913748,8.461667845913748,8.461667845913748,8.461667845913748
81,0.081,8.555137174053328,8.555137174053328,8.555137174053328,8.555137174053328,8.555137174053328
82,0.082,8.650469727394224,8.650469727394224,8.650469727394224,8.650469727394224,8.650469727394224
83,0.083,8.74769366679826,8.74769366679826,8.74769366679826,8.74769366679826,8.74769366679826
84,0.084,8.84683730025085,8.84683730025085,8.84683730025085,8.84683730025085,8.84683730025085
85,0.085,8.947929069394167,8.947929069394167,8.947929069394167,8.947929069394167,8.947929069394167
86,0.08600000000000001,9.050997535319793,9.050997535319793,9.050997535319793,9.050997535319793,9.050997535319793
87,0.08700000000000001,9.156071363597295,9.156071363597295,9.156071363597295,9.156071363597295,9.156071363597295
88,0.088,9.263179308515031,9.263179308515031,9.263179308515031,9.263179308515031,9.263179308515031
89,0.089,9.37235019650944,9.37235019650944,9.37235019650944,9.37235019650944,9.37235019650944
90,0.09,9.483612908759124,9.483612908759124,9.483612908759124,9.483612908759124,9.483612908759124
91,0.091,9.596996362920034,9.596996362920034,9.596996362920034,9.596996362920034,9.596996362920034
92,0.092,9.712529493978222,9.712529493978222,9.712529493978222,9.712529493978222,9.712529493978222
93,0.093,9.830241234196716,9.830241234196716,9.830241234196716,9.830241234196716,9.830241234196716
94,0.094,9.950160492133392,9.950160492133392,9.950160492133392,9.950160492133392,9.950160492133392
95,0.095,10.07231613070691,10.07231613070691,10.07231613070691,10.07231613070691,10.07231613070691
96,0.096,10.196736944288203,10.196736944288203,10.196736944288203,10.196736944288203,10.196736944288203
97,0.097,10.323451634795418,10.323451634795418,10.323451634795418,10.323451634795418,10.323451634795418
98,0.098,10.452488786770694,10.452488786770694,10.452488786770694,10.452488786770694,10.452488786770694
99,0.099,10.583876841417792,10.583876841417792,10.583876841417792,10.583876841417792,10.583876841417792
100,0.1,10.717644069580254,10.717644069580254,10.717644069580254,10.717644069580254,10.717644069580254
