,t,x,y
0,0.0,-1.2246467991473533e-17,-0.04000000000000001
1,0.01,0.009995833854135662,-0.04000000000000001
2,0.02,0.019966683329365638,-0.04000000000000001
3,0.03,0.029887626494719818,-0.04000000000000001
4,0.04,0.03973386615901223,-0.04000000000000001
5,0.05,0.04948079185090458,-0.04000000000000001
6,0.06,0.05910404133226791,-0.04000000000000001
7,0.07,0.06857956149109028,-0.04000000000000001
8,0.08,0.07788366846173007,-0.04000000000000001
9,0.09,0.08699310682224606,-0.04000000000000001
10,0.1,0.09588510772084059,-0.04000000000000001
11,0.11,0.1045374457861318,-0.04000000000000001
12,0.12,0.11292849467900708,-0.04000000000000001
13,0.13,0.1210372811472079,-0.04000000000000001
14,0.14,0.12884353744753824,-0.04000000000000001
15,0.15,0.13632775200466682,-0.04000000000000001
16,0.16,0.14347121817990452,-0.04000000000000001
17,0.17,0.15025608102805854,-0.04000000000000001
18,0.18,0.15666538192549667,-0.04000000000000001
19,0.19,0.16268310095787478,-0.04000000000000001
20,0.2,0.16829419696157932,-0.04000000000000001
21,0.21,0.17348464511880335,-0.04000000000000001
22,0.22,0.17824147201228707,-0.04000000000000001
23,0.23,0.18255278805210426,-0.04000000000000001
24,0.24,0.1864078171934453,-0.04000000000000001
25,0.25,0.18979692387111724,-0.04000000000000001
26,0.26,0.19271163708343858,-0.04000000000000001
27,0.27,0.19514467156533183,-0.04000000000000001
28,0.28,0.19708994599769206,-0.04000000000000001
29,0.29,0.1985425982075177,-0.04000000000000001
30,0.3,0.1994989973208109,-0.04000000000000001
31,0.31,0.1999567528378714,-0.04000000000000001
32,0.32,0.19991472060830104,-0.04000000000000001
33,0.33,0.19937300569078376,-0.04000000000000001
34,0.34,0.19833296209049373,-0.04000000000000001
35,0.35000000000000003,0.1967971893747874,-0.04000000000000001
36,0.36,0.19476952617563906,-0.04000000000000001
37,0.37,0.19225504059506,-0.04000000000000001
38,0.38,0.18926001753748292,-0.04000000000000001
39,0.39,0.18579194300077384,-0.04000000000000001
40,0.4,0.18185948536513635,-0.04000000000000001
41,0.41000000000000003,0.17747247372667507,-0.04000000000000001
42,0.42,0.17264187332977476,-0.04000000000000001
43,0.43,0.16737975815969958,-0.04000000000000001
44,0.44,0.16169928076391804,-0.04000000000000001
45,0.45,0.15561463937758427,-0.04000000000000001
46,0.46,0.149141042435344,-0.04000000000000001
47,0.47000000000000003,0.14229467055816888,-0.04000000000000001
48,0.48,0.13509263611023023,-0.04000000000000001
49,0.49,0.12755294042690074,-0.04000000000000001
50,0.5,0.11969442882079132,-0.04000000000000001
51,0.51,0.11153674347828342,-0.04000000000000001
52,0.52,0.10310027436429292,-0.04000000000000001
53,0.53,0.09440610825797646,-0.04000000000000001
54,0.54,0.08547597604676598,-0.04000000000000001
55,0.55,0.07633219841046636,-0.04000000000000001
56,0.56,0.06699763003118087,-0.04000000000000001
57,0.5700000000000001,0.057495602468508815,-0.04000000000000001
58,0.58,0.04784986584279641,-0.04000000000000001
59,0.59,0.0380845294722056,-0.04000000000000001
60,0.6,0.028224001611973457,-0.04000000000000001
61,0.61,0.018292928446487455,-0.04000000000000001
62,0.62,0.0083161324866582,-0.04000000000000001
63,0.63,-0.0016814494734298001,-0.04000000000000001
64,0.64,-0.011674828685516005,-0.04000000000000001
65,0.65,-0.021639026906021666,-0.04000000000000001
66,0.66,-0.031549138828649806,-0.04000000000000001
67,0.67,-0.041380394334679854,-0.04000000000000001
68,0.68,-0.05110822040536633,-0.04000000000000001
69,0.6900000000000001,-0.060708302541685855,-0.04000000000000001
70,0.7000000000000001,-0.07015664553792396,-0.04000000000000001
71,0.71,-0.07942963345719195,-0.04000000000000001
72,0.72,-0.08850408865897041,-0.04000000000000001
73,0.73,-0.09735732973113996,-0.04000000000000001
74,0.74,-0.10596722818169867,-0.04000000000000001
75,0.75,-0.11431226374846876,-0.04000000000000001
76,0.76,-0.12237157818854379,-0.04000000000000001
77,0.77,-0.13012502741303342,-0.04000000000000001
78,0.78,-0.1375532318367948,-0.04000000000000001
79,0.79,-0.14463762481730244,-0.04000000000000001
80,0.8,-0.15136049906158566,-0.04000000000000001
81,0.81,-0.15770505088523912,-0.04000000000000001
82,0.8200000000000001,-0.16365542221288218,-0.04000000000000001
83,0.8300000000000001,-0.16919674021508932,-0.04000000000000001
84,0.84,-0.17431515448271762,-0.04000000000000001
85,0.85,-0.1789978716457167,-0.04000000000000001
86,0.86,-0.183233187349891,-0.04000000000000001
87,0.87,-0.18701051551168982,-0.04000000000000001
88,0.88,-0.1903204147779032,-0.04000000000000001
89,0.89,-0.19315461212412777,-0.04000000000000001
90,0.9,-0.1955060235330194,-0.04000000000000001
91,0.91,-0.19736877170064732,-0.04000000000000001
92,0.92,-0.1987382007266929,-0.04000000000000001
93,0.93,-0.1996108877517759,-0.04000000000000001
94,0.9400000000000001,-0.1999846515128202,-0.04000000000000001
95,0.9500000000000001,-0.1998585577950756,-0.04000000000000001
96,0.96,-0.19923292176716814,-0.04000000000000001
97,0.97,-0.19810930719334266,-0.04000000000000001
98,0.98,-0.1964905225248665,-0.04000000000000001
99,0.99,-0.19438061388036418,-0.04000000000000001
100,1.0,-0.1917848549326277,-0.04000000000000001
101,1.01,-0.18870973372718133,-0.04000000000000001
102,1.02,-0.1851629364655465,-0.04000000000000001
103,1.03,-0.18115332829374092,-0.04000000000000001
104,1.04,-0.17669093114403067,-0.04000000000000001
105,1.05,-0.17178689868531843,-0.04000000000000001
106,1.06,-0.16645348844478017,-0.04000000000000001
