,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,4.0,-11.674094359475417,-12.685411989890847,-12.685411989890847,-12.685411989890847,-12.685411989890847,-12.685411989890847,-12.685411989890847
2,8.0,-1.029804526347987,10.701763703494008,-21.59831627437212,-21.59831627437212,-21.59831627437212,-21.59831627437212,-21.59831627437212
3,12.0,5.155697614896052,-9.139238496639429,4.531865477750509,2.0613133131536774,2.0613133131536774,2.0613133131536774,2.0613133131536774
4,16.0,0.008289599635459943,-13.49762133342228,-15.238758694436209,-5.67742712325647,-0.021877049268676063,-0.021877049268676063,-0.021877049268676063
5,20.0,4.434301234777259,6.4500973605762395,-31.99751079789276,14.062695558626842,-5.58159198577867,-13.527115217876045,-13.527115217876045
