,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
39,0.39,-0.37018073552200886,-0.37018073552200886,-0.37018073552200886,-0.37018073552200886,-0.37018073552200886,-0.37018073552200886,-0.37018073552200886
40,0.4,-0.4161467401075868,-0.4161467401075868,-0.4161467401075868,-0.4161467401075868,-0.4161467401075868,-0.4161467401075868,-0.4161467401075868
41,0.41000000000000003,-0.4610725946662988,-0.4610725946662988,-0.4610725946662988,-0.4610725946662988,-0.4610725946662988,-0.4610725946662988,-0.4610725946662988
42,0.42,-0.5048460079706029,-0.5048460079706029,-0.5048460079706029,-0.5048460079706029,-0.5048460079706029,-0.5048460079706029,-0.5048460079706029
43,0.43,-0.5473575692956374,-0.5473575692956374,-0.5473575692956374,-0.5473575692956374,-0.5473575692956374,-0.5473575692956374,-0.5473575692956374
44,0.44,-0.5885010218890245,-0.5885010218890245,-0.5885010218890245,-0.5885010218890245,-0.5885010218890245,-0.5885010218890245,-0.5885010218890245
45,0.45,-0.6281735285573852,-0.6281735285573852,-0.6281735285573852,-0.6281735285573852,-0.6281735285573852,-0.6281735285573852,-0.6281735285573852
46,0.46,-0.666275928705738,-0.666275928705738,-0.666275928705738,-0.666275928705738,-0.666275928705738,-0.666275928705738,-0.666275928705738
47,0.47000000000000003,-0.7027129861873193,-0.7027129861873193,-0.7027129861873193,-0.7027129861873193,-0.7027129861873193,-0.7027129861873193,-0.7027129861873193
48,0.48,-0.7373936273443251,-0.7373936273443251,-0.7373936273443251,-0.7373936273443251,-0.7373936273443251,-0.7373936273443251,-0.7373936273443251
49,0.49,-0.7702311686446018,-0.7702311686446018,-0.7702311686446018,-0.7702311686446018,-0.7702311686446018,-0.7702311686446018,-0.7702311686446018
50,0.5,-0.8011435333453087,-0.8011435333453087,-0.8011435333453087,-0.8011435333453087,-0.8011435333453087,-0.8011435333453087,-0.8011435333453087
51,0.51,-0.8300534566420079,-0.8300534566420079,-0.8300534566420079,-0.8300534566420079,-0.8300534566420079,-0.8300534566420079,-0.8300534566420079
52,0.52,-0.8568886787904157,-0.8568886787904157,-0.8568886787904157,-0.8568886787904157,-0.8568886787904157,-0.8568886787904157,-0.8568886787904157
53,0.53,-0.8815821257181112,-0.8815821257181112,-0.8815821257181112,-0.8815821257181112,-0.8815821257181112,-0.8815821257181112,-0.8815821257181112
54,0.54,-0.9040720766747672,-0.9040720766747672,-0.9040720766747672,-0.9040720766747672,-0.9040720766747672,-0.9040720766747672,-0.9040720766747672
55,0.55,-0.9243023185018653,-0.9243023185018653,-0.9243023185018653,-0.9243023185018653,-0.9243023185018653,-0.9243023185018653,-0.9243023185018653
56,0.56,-0.9422222861363011,-0.9422222861363011,-0.9422222861363011,-0.9422222861363011,-0.9422222861363011,-0.9422222861363011,-0.9422222861363011
57,0.5700000000000001,-0.957787188996694,-0.957787188996694,-0.957787188996694,-0.957787188996694,-0.957787188996694,-0.957787188996694,-0.957787188996694
58,0.58,-0.9709581229365009,-0.9709581229365009,-0.9709581229365009,-0.9709581229365009,-0.9709581229365009,-0.9709581229365009,-0.9709581229365009
59,0.59,-0.9817021674841103,-0.9817021674841103,-0.9817021674841103,-0.9817021674841103,-0.9817021674841103,-0.9817021674841103,-0.9817021674841103
60,0.6,-0.9899924681268673,-0.9899924681268673,-0.9899924681268673,-0.9899924681268673,-0.9899924681268673,-0.9899924681268673,-0.9899924681268673
61,0.61,-0.9958083034333607,-0.9958083034333607,-0.9958083034333607,-0.9958083034333607,-0.9958083034333607,-0.9958083034333607,-0.9958083034333607
62,0.62,-0.9991351368462037,-0.9991351368462037,-0.9991351368462037,-0.9991351368462037,-0.9991351368462037,-0.9991351368462037,-0.9991351368462037
63,0.63,-0.9999646530158517,-0.9999646530158517,-0.9999646530158517,-0.9999646530158517,-0.9999646530158517,-0.9999646530158517,-0.9999646530158517
64,0.64,-0.9982947785846419,-0.9982947785846419,-0.9982947785846419,-0.9982947785846419,-0.9982947785846419,-0.9982947785846419,-0.9982947785846419
65,0.65,-0.9941296873691061,-0.9941296873691061,-0.9941296873691061,-0.9941296873691061,-0.9941296873691061,-0.9941296873691061,-0.9941296873691061
66,0.66,-0.9874797899276025,-0.9874797899276025,-0.9874797899276025,-0.9874797899276025,-0.9874797899276025,-0.9874797899276025,-0.9874797899276025
67,0.67,-0.978361707539343,-0.978361707539343,-0.978361707539343,-0.978361707539343,-0.978361707539343,-0.978361707539343,-0.978361707539343
68,0.68,-0.9667982306598544,-0.9667982306598544,-0.9667982306598544,-0.9667982306598544,-0.9667982306598544,-0.9667982306598544,-0.9667982306598544
69,0.6900000000000001,-0.9528182619567129,-0.9528182619567129,-0.9528182619567129,-0.9528182619567129,-0.9528182619567129,-0.9528182619567129,-0.9528182619567129
70,0.7000000000000001,-0.9364567440679342,-0.9364567440679342,-0.9364567440679342,-0.9364567440679342,-0.9364567440679342,-0.9364567440679342,-0.9364567440679342
71,0.71,-0.9177545722635834,-0.9177545722635834,-0.9177545722635834,-0.9177545722635834,-0.9177545722635834,-0.9177545722635834,-0.9177545722635834
72,0.72,-0.8967584922289072,-0.8967584922289072,-0.8967584922289072,-0.8967584922289072,-0.8967584922289072,-0.8967584922289072,-0.8967584922289072
73,0.73,-0.8735209832244768,-0.8735209832244768,-0.8735209832244768,-0.8735209832244768,-0.8735209832244768,-0.8735209832244768,-0.8735209832244768
74,0.74,-0.8481001269153788,-0.8481001269153788,-0.8481001269153788,-0.8481001269153788,-0.8481001269153788,-0.8481001269153788,-0.8481001269153788
75,0.75,-0.8205594621973155,-0.8205594621973155,-0.8205594621973155,-0.8205594621973155,-0.8205594621973155,-0.8205594621973155,-0.8205594621973155
76,0.76,-0.7909678263824708,-0.7909678263824708,-0.7909678263824708,-0.7909678263824708,-0.7909678263824708,-0.7909678263824708,-0.7909678263824708
77,0.77,-0.7593991831420965,-0.7593991831420965,-0.7593991831420965,-0.7593991831420965,-0.7593991831420965,-0.7593991831420965,-0.7593991831420965
78,0.78,-0.7259324376358723,-0.7259324376358723,-0.7259324376358723,-0.7259324376358723,-0.7259324376358723,-0.7259324376358723,-0.7259324376358723
79,0.79,-0.6906512392901184,-0.6906512392901184,-0.6906512392901184,-0.6906512392901184,-0.6906512392901184,-0.6906512392901184,-0.6906512392901184
80,0.8,-0.6536437727178145,-0.6536437727178145,-0.6536437727178145,-0.6536437727178145,-0.6536437727178145,-0.6536437727178145,-0.6536437727178145
81,0.81,-0.6150025373030151,-0.6150025373030151,-0.6150025373030151,-0.6150025373030151,-0.6150025373030151,-0.6150025373030151,-0.6150025373030151
82,0.8200000000000001,-0.5748241160005851,-0.5748241160005851,-0.5748241160005851,-0.5748241160005851,-0.5748241160005851,-0.5748241160005851,-0.5748241160005851
83,0.8300000000000001,-0.5332089339291365,-0.5332089339291365,-0.5332089339291365,-0.5332089339291365,-0.5332089339291365,-0.5332089339291365,-0.5332089339291365
84,0.84,-0.4902610073605573,-0.4902610073605573,-0.4902610073605573,-0.4902610073605573,-0.4902610073605573,-0.4902610073605573,-0.4902610073605573
