,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,4.0,19.224655669955464,18.567983593438594,18.567983593438594,18.567983593438594,18.567983593438594,18.567983593438594,18.567983593438594
2,8.0,19.972293462986606,52.338828692184514,25.569699443975253,25.569699443975253,25.569699443975253,25.569699443975253,25.569699443975253
3,12.0,19.502444543837182,14.412732915604968,48.18646903801099,26.30810494977131,26.30810494977131,26.30810494977131,26.30810494977131
4,16.0,30.181672386333908,12.995203179316004,39.032748500085916,34.01569297812081,18.521332896809742,18.521332896809742,18.521332896809742
5,20.0,41.3397248392113,13.36224593697953,11.090355658761403,37.990586039390536,22.487759981075847,13.815206861586372,13.815206861586372
