,t,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12.5,-0.06982106487158501,-0.0651597172189855,-0.0651597172189855,-0.0651597172189855,-0.0651597172189855,-0.0651597172189855,-0.0651597172189855
2,25.0,-0.12890912862263743,-0.12341697763474008,-0.1261630531286886,-0.12320908317727022,-0.12320908317727022,-0.12320908317727022,-0.12320908317727022
3,37.5,-0.1699922020013532,-0.16840344672339044,-0.16999220200135284,-0.16728849608583046,-0.168737909967743,-0.16781365922691863,-0.16781365922691863
