Points_MT10-01_field_temperature,Points_MT10-02_field_temperature,Points_MT10-03_field_temperature,Points_MT10-04_field_temperature,Points_MT10-05_field_temperature,Points_MT10-06_field_temperature,Points_MT10-07_field_temperature,Points_MT10-08_field_temperature,Points_MT10-09_field_temperature,Points_MT10-10_field_temperature,time
2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999998e+02,2.9314999999999992e+02,2.9314999999999998e+02,2.9314999999999998e+02,0.0000000000000000e+00
2.9277002344385107e+02,2.9333383174826861e+02,2.9244117025245885e+02,2.9150985583394009e+02,2.9331102279884658e+02,2.9258062766701903e+02,2.9233860917545508e+02,2.9228402993808396e+02,2.9244287019861235e+02,2.9234127775381933e+02,9.0000000000000000e+02
2.9244662714864762e+02,2.9330066420738746e+02,2.9211435731458766e+02,2.9127611096812313e+02,2.9327138730035438e+02,2.9238744504515415e+02,2.9208328374136750e+02,2.9204547267794709e+02,2.9228812632645679e+02,2.9208066140911433e+02,1.8000000000000000e+03
2.9230520515008430e+02,2.9328521827899010e+02,2.9202511396091387e+02,2.9128460859110038e+02,2.9325678812960746e+02,2.9235236003991395e+02,2.9201808961546720e+02,2.9200057279968058e+02,2.9226338810541171e+02,2.9200964966923277e+02,2.7000000000000000e+03
2.9227004551119722e+02,2.9328028244619014e+02,2.9201424595329581e+02,2.9128663640226279e+02,2.9325267260322653e+02,2.9234798820751473e+02,2.9201048890712070e+02,2.9199899670692099e+02,2.9226057747695137e+02,2.9200012055339158e+02,3.6000000000000000e+03
