,t,nb_pts,k=0,k=1,k=2,k=3,k=4,k=5,k=6
0,0.0,12501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12.5,12500.0,-0.06515971721898552,-0.06515911114437538,-0.06515911114437538,-0.06515911114437538,-0.06515911114437538,-0.06515911114437538,-0.06515911114437538
2,25.0,12500.0,-0.12320908317727038,-0.12320809194140238,-0.12320858755933685,-0.12320809193996336,-0.12320809193996336,-0.12320809193996336,-0.12320809193996336
3,37.5,12500.0,-0.16781365922691896,-0.167812665990945,-0.1678136592269205,-0.1678123349066818,-0.16781299706773445,-0.16781266598534206,-0.16781266598534206
