,t,nb_pts,k=0,k=1,k=2,k=3,k=4
0,0.0,671.0,5.0,5.0,5.0,5.0,5.0
1,6.7,660.0,-4.489534299429763,2.1674891088642543,2.1674891088642543,2.1674891088642543,2.1674891088642543
2,13.3,670.0,3.3436742784989133,-8.033412935201158,-6.043432762155396,-14.132632449212709,-14.132632449212709
